MARKET,SITE,CLIENT,INITIATION DATE,EXPECTED CLOSE,STAGE,CAPACITY (MW),TYPE,PRICING,PRICING DATE
New Mexico,,Acme Energy,,2026-04-12,Proposal,638,Offshore Wind,2394546066,
Florida,,CleanGrid Solutions,,2026-05-19,Qualification,298,Hybrid Solar+Storage,316809760,
Arizona,,SolarTech Inc,,,Negotiation,484,Solar PV,505445556,
California,,,,,Contract Signed,173,Battery Storage,124688539,
New Mexico,,WindForce LLC,,2027-01-08,Pre-Qualification,359,Hybrid Solar+Storage,386995897,
California,,EcoWatt Systems,,2026-01-20,Contract Signed,403,Wind Farm,671819135,
Florida,,FutureGen Energy,,2026-08-10,Pre-Qualification,422,Solar PV,356346506,
Oregon,,FutureGen Energy,,2026-08-16,Pre-Qualification,510,Wind Farm,721465890,
Utah,,Acme Energy,,2026-01-14,Contract Signed,350,Offshore Wind,1679365450,
Utah,,GreenPower Corp,,2026-03-11,Negotiation,126,Solar PV,109643562,
New Mexico,,,,2026-12-11,Pre-Qualification,307,Hybrid Solar+Storage,443082355,
Texas,,CleanGrid Solutions,,2026-11-30,Pre-Qualification,499,Offshore Wind,1828569033,
California,,CleanGrid Solutions,,2026-11-02,Pre-Qualification,202,Hybrid Solar+Storage,244061046,
New Mexico,,WindForce LLC,,2026-06-05,Qualification,198,Solar PV,180638370,
Colorado,,PowerNow Industries,,2026-03-29,Negotiation,317,Solar PV,269790141,
Texas,,BrightEnergy Co,,2026-02-12,Negotiation,118,Hybrid Solar+Storage,128296090,
Nevada,,CleanGrid Solutions,,,Proposal,139,Hybrid Solar+Storage,173493545,
Colorado,,CleanGrid Solutions,,2026-03-28,Negotiation,173,Solar PV,146388967,
Washington,,GreenPower Corp,,2026-08-18,Qualification,588,Wind Farm,874064352,
New Mexico,,Acme Energy,,2026-01-12,Contract Signed,210,Wind Farm,318858120,
Utah,,CleanGrid Solutions,,2026-03-08,Negotiation,112,Battery Storage,60119248,
Florida,,Acme Energy,,2026-02-16,,215,Hybrid Solar+Storage,230655225,
Oregon,,CleanGrid Solutions,,2026-03-26,Proposal,388,Hybrid Solar+Storage,480273384,
Florida,,BrightEnergy Co,,2026-01-15,Contract Signed,112,Solar PV,133068656,
Colorado,,FutureGen Energy,,2026-08-29,Qualification,409,Offshore Wind,1345450081,
Washington,,CleanGrid Solutions,,2026-08-21,Qualification,266,Offshore Wind,1101964850,
Nevada,,BrightEnergy Co,,2026-03-22,Negotiation,361,Hybrid Solar+Storage,400103159,
Utah,,WindForce LLC,,2026-01-18,Contract Signed,106,Hybrid Solar+Storage,127938926,
Arizona,,GreenPower Corp,,2026-03-10,Negotiation,538,Wind Farm,814162394,
