CompanyName,ProjectType,PowerCapacity_MW,ProjectLocation,DevelopmentPhase,EstimatedCloseDate,ProbabilityPercent,LeadEngineer,TechnologyType,GridConnection,PermitStatus,InvestmentValue_USD
GreenPower Corp,Solar PV,241,Utah,Proposal,2026-05-11,56,James Wilson,Tesla Megapack,69kV Distribution,Under Review,199721520
Acme Energy,Wind Farm,277,Nevada,Pre-Qualification,2026-10-11,24,Robert Thompson,Vestas V150,138kV Substation,Under Review,422762386
Acme Energy,Hybrid Solar+Storage,198,Washington,Pre-Qualification,2026-10-06,10,Emily Watson,Siemens Gamesa 5.X,69kV Distribution,Under Review,207052362
RenewableFirst,Solar PV,300,Nevada,Qualification,2026-09-09,33,James Wilson,Monocrystalline Si,138kV Substation,Pending EIS,297130200
CleanGrid Solutions,Battery Storage,195,Utah,Proposal,2026-05-16,42,Jessica Martinez,Bifacial Modules,500kV Backbone,Applied,127506405
EcoWatt Systems,Hybrid Solar+Storage,148,Texas,Pre-Qualification,2026-11-11,17,Sarah Chen,Siemens Gamesa 5.X,500kV Backbone,Under Review,187915600
RenewableFirst,Solar PV,235,Utah,Qualification,2026-09-14,25,Robert Thompson,Vestas V150,500kV Backbone,Under Review,248328730
EcoWatt Systems,Hybrid Solar+Storage,342,New Mexico,Negotiation,2026-04-10,69,Robert Thompson,GE Haliade-X,500kV Backbone,Conditional Approval,352362600
EcoWatt Systems,Solar PV,367,California,Proposal,2026-05-09,56,Robert Thompson,Bifacial Modules,500kV Backbone,Under Review,324117885
Acme Energy,Battery Storage,198,Oregon,Qualification,,37,Jessica Martinez,Siemens Gamesa 5.X,500kV Backbone,Approved,80326026
FutureGen Energy,Wind Farm,211,Washington,Pre-Qualification,,26,Lisa Anderson,Vestas V150,138kV Substation,Approved,301114091
EcoWatt Systems,Battery Storage,102,Colorado,Negotiation,2026-03-22,70,Sarah Chen,Bifacial Modules,69kV Distribution,Applied,78855282
BrightEnergy Co,Offshore Wind,623,Washington,Proposal,2026-04-14,46,Jessica Martinez,GE Haliade-X,138kV Substation,Approved,1940180865
FutureGen Energy,Solar PV,330,Florida,,2026-05-24,55,Lisa Anderson,GE Haliade-X,69kV Distribution,Conditional Approval,314315430
EcoWatt Systems,Solar PV,227,Utah,,2026-06-05,43,Michael Rodriguez,GE Haliade-X,500kV Backbone,Approved,219511497
EcoWatt Systems,Battery Storage,101,Oregon,Proposal,2026-06-06,46,James Wilson,Monocrystalline Si,500kV Backbone,Applied,66794633
BrightEnergy Co,Solar PV,350,California,Negotiation,2026-03-22,71,David Kim,Siemens Gamesa 5.X,138kV Substation,Approved,397671750
WindForce LLC,Solar PV,243,New Mexico,Qualification,2026-08-17,36,David Kim,Bifacial Modules,69kV Distribution,Applied,217625454
Acme Energy,Wind Farm,136,California,Negotiation,2026-03-08,77,James Wilson,Monocrystalline Si,500kV Backbone,Conditional Approval,170740384
PowerNow Industries,Wind Farm,323,California,Pre-Qualification,2026-08-06,15,Michael Rodriguez,Vestas V150,230kV Transmission,Approved,457792422
PowerNow Industries,Solar PV,286,Oregon,Pre-Qualification,2027-01-01,18,Robert Thompson,Bifacial Modules,230kV Transmission,Approved,263888196
FutureGen Energy,Wind Farm,495,Utah,Negotiation,2026-03-10,68,Jessica Martinez,GE Haliade-X,138kV Substation,Conditional Approval,790620930
GreenPower Corp,Solar PV,229,Texas,Qualification,2026-06-09,34,David Kim,Bifacial Modules,500kV Backbone,Applied,189270790
EcoWatt Systems,Hybrid Solar+Storage,147,Washington,,2026-03-04,56,David Kim,Vestas V150,230kV Transmission,Conditional Approval,163158681
,Wind Farm,239,New Mexico,Proposal,2026-06-04,47,Michael Rodriguez,Vestas V150,69kV Distribution,Approved,406831775
CleanGrid Solutions,Battery Storage,105,Oregon,Pre-Qualification,2026-07-21,27,Sarah Chen,Siemens Gamesa 5.X,138kV Substation,Approved,43494465
BrightEnergy Co,Solar PV,412,Arizona,Negotiation,2026-03-26,59,Robert Thompson,Siemens Gamesa 5.X,69kV Distribution,Under Review,418946320
Acme Energy,Hybrid Solar+Storage,293,Colorado,Proposal,2026-05-03,52,Sarah Chen,Siemens Gamesa 5.X,500kV Backbone,Under Review,384236098
PowerNow Industries,Wind Farm,171,California,Pre-Qualification,2026-10-04,21,Robert Thompson,GE Haliade-X,500kV Backbone,Pending EIS,278361666
WindForce LLC,Offshore Wind,723,Washington,Contract Signed,2026-02-10,94,Michael Rodriguez,Monocrystalline Si,138kV Substation,Applied,2279296542
FutureGen Energy,Hybrid Solar+Storage,111,New Mexico,Pre-Qualification,2026-11-28,28,David Kim,GE Haliade-X,138kV Substation,Applied,115048725
RenewableFirst,Battery Storage,139,Oregon,Contract Signed,2026-02-15,97,James Wilson,Monocrystalline Si,138kV Substation,Applied,88921358
FutureGen Energy,Battery Storage,147,New Mexico,Negotiation,2026-04-02,67,Jessica Martinez,Bifacial Modules,230kV Transmission,Applied,65955666
WindForce LLC,Solar PV,336,Florida,Negotiation,2026-03-18,68,Sarah Chen,Monocrystalline Si,69kV Distribution,Applied,387656976
SolarTech Inc,Hybrid Solar+Storage,245,Florida,Contract Signed,2026-02-17,92,Lisa Anderson,GE Haliade-X,138kV Substation,Applied,362956720
RenewableFirst,Offshore Wind,310,Utah,Negotiation,,73,Robert Thompson,Siemens Gamesa 5.X,230kV Transmission,Pending EIS,1272101120
Acme Energy,Wind Farm,177,Oregon,Proposal,2026-05-03,57,Emily Watson,Siemens Gamesa 5.X,500kV Backbone,Approved,296278353
FutureGen Energy,Battery Storage,112,Washington,Qualification,2026-08-20,27,Michael Rodriguez,Vestas V150,230kV Transmission,Conditional Approval,61948656
Acme Energy,Offshore Wind,263,Nevada,,2026-01-22,94,Sarah Chen,Tesla Megapack,230kV Transmission,Applied,1179793015
GreenPower Corp,Wind Farm,409,California,Proposal,2026-05-31,52,Robert Thompson,Bifacial Modules,500kV Backbone,Pending EIS,575877317
SolarTech Inc,Hybrid Solar+Storage,150,Arizona,Negotiation,2026-03-22,77,Jessica Martinez,Vestas V150,138kV Substation,Conditional Approval,213342750
RenewableFirst,Solar PV,305,California,Proposal,2026-05-22,53,Jessica Martinez,Siemens Gamesa 5.X,500kV Backbone,Pending EIS,344618585
BrightEnergy Co,Solar PV,183,Texas,Qualification,,44,David Kim,Bifacial Modules,230kV Transmission,Approved,197505129
PowerNow Industries,Solar PV,497,New Mexico,Negotiation,2026-04-16,71,Jessica Martinez,Vestas V150,230kV Transmission,Applied,557344746
CleanGrid Solutions,Battery Storage,74,Florida,Qualification,2026-08-12,34,James Wilson,GE Haliade-X,230kV Transmission,Conditional Approval,53382416
RenewableFirst,Battery Storage,121,Texas,Contract Signed,,94,Robert Thompson,Monocrystalline Si,69kV Distribution,Conditional Approval,93047185
