
AccountName,OpportunityID,Stage,CreatedDate,EstimatedValue
Acme Corp,OPP-1001,Lead,2026-01-01,50000
Beta Inc,OPP-1002,Qualified,2026-01-02,75000
Gamma LLC,OPP-1003,Proposal,2026-01-03,120000
Delta Ltd,OPP-1004,Negotiation,2026-01-04,95000
Epsilon AG,OPP-1005,Closed-Won,2026-01-05,200000
Zeta GmbH,OPP-1006,Closed-Lost,2026-01-06,0
Eta SA,OPP-1007,On-Hold,2026-01-07,30000
Theta PLC,OPP-1008,Lead,2026-01-08,40000
Iota BV,OPP-1009,Qualified,2026-01-09,85000
Kappa Oy,OPP-1010,Proposal,2026-01-10,110000
